Instance With 48 Items
510 	48
1 	10 	41
2 	75 	36
3 	39 	5
4 	61 	23
5 	78 	9
6 	40 	52
7 	18 	73
8 	92 	100
9 	91 	79
10 	79 	66
11 	81 	5
12 	66 	85
13 	36 	38
14 	76 	32
15 	88 	22
16 	21 	98
17 	78 	91
18 	46 	9
19 	100 	93
20 	62 	16
21 	62 	9
22 	67 	33
23 	10 	10
24 	42 	78
25 	90 	99
26 	62 	90
27 	62 	79
28 	79 	84
29 	54 	91
30 	9 	75
31 	72 	25
32 	18 	27
33 	5 	73
34 	76 	63
35 	85 	33
36 	66 	89
37 	23 	25
38 	22 	99
39 	34 	59
40 	83 	59
41 	45 	66
42 	91 	61
43 	9 	4
44 	21 	43
45 	69 	52
46 	32 	45
47 	40 	88
48 	86 	67
